,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
428,Sabrina Carpenter,Sue Me,3WVhkjB7Y4xFruqoCAajBb,75,0.0422,0.46,179227,0.809,5.04e-05,6,0.138,-5.415,1,0.326,157.184,4,0.609
429,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,82,0.194,0.653,210773,0.809,0.0,0,0.165,-4.057,1,0.0474,92.213,4,0.55
430,El de La Guitarra,A Lo Lejos Me Veran,3VHtIuKm8MvOTo81Usu2f5,73,0.0285,0.694,148561,0.414,0.00992,7,0.535,-12.117,0,0.0401,125.069,3,0.941
431,Shawn Mendes,Youth (feat. Khalid),1h0yImRPIVAjhhHeNVlTuC,77,0.56,0.534,190867,0.596,0.0,6,0.133,-6.653,0,0.117,100.121,4,0.324
432,Hailee Steinfeld,Capital Letters,6l0Ky2PycJV1Bz88kFeVGL,78,0.0337,0.661,219373,0.814,8.27e-06,0,0.0518,-5.529,1,0.0759,99.963,4,0.459
433,XXXTENTACION,$$$ - with Matt Ox,65u1dHQyQyE4y4aN2eDmMF,72,0.0636,0.774,130403,0.507,0.0,1,0.138,-6.952,0,0.065,140.067,4,0.508
434,The 1975,It's Not Living (If It's Not With You),3TgMcrV32NUKjEG2ujn9eh,75,0.000297,0.618,248336,0.824,6.87e-05,1,0.0649,-5.316,1,0.0301,121.238,4,0.598
435,Mitchell Tenpenny,Alcohol You Later,5SO7pvSFiXwU0e1z7C4X7H,70,0.0259,0.671,186600,0.597,0.0,8,0.116,-7.011,1,0.0351,100.039,4,0.422
436,The 1975,Love It If We Made It,6WmIyn2fx1PKQ0XDpYj4VR,73,0.0007,0.472,252926,0.751,2.2e-05,4,0.0954,-5.253,1,0.0374,180.089,4,0.0736
437,Quando Rondo,ABG,1mHLxIGKfmWBdH1bZzO7pW,69,0.482,0.722,234556,0.81,0.0,5,0.0954,-3.395,1,0.373,176.108,4,0.937
438,Queen Naija,Karma,3qmm9AdG0TnShv0drgXNIQ,70,0.172,0.592,176076,0.571,0.0,1,0.106,-7.132,1,0.174,104.95,4,0.424
439,YoungBoy Never Broke Again,Cross Me (feat. Lil Baby and Plies),3V3JxDpiUg0RAt1Mfbn6Ht,69,0.244,0.717,233684,0.617,0.0,9,0.148,-7.385,0,0.343,152.049,4,0.654
440,SOB X RBE,Paramedic!,2tPcTFiQF9MbVUyjZ3zDhA,70,0.177,0.856,219307,0.652,0.0,1,0.193,-5.324,1,0.143,97.017,4,0.471
441,Karol G,Créeme,1mT47pKLXUwPYGwB91GcNz,83,0.154,0.715,212493,0.872,0.000146,6,0.11,-3.501,1,0.0547,96.939,4,0.682
442,Bad Bunny,Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,76,0.197,0.514,233128,0.646,2.3e-05,1,0.0958,-8.833,1,0.275,88.661,4,0.297
443,Jason Aldean,Drowns The Whiskey (feat. Miranda Lambert),2dwoqUYTy6SOy1dFqcTndC,69,0.294,0.552,202067,0.698,0.000103,8,0.0905,-4.817,1,0.0306,90.006,4,0.6
444,Camila Cabello,Consequences - orchestra,1ArLnG0bHaHPXqf08sEKM0,76,0.645,0.547,181913,0.289,0.0,0,0.148,-8.131,1,0.0348,104.851,3,0.213
445,Kanye West,Ghost Town,7vgTNTaEz3CsBZ1N4YQalM,72,0.0969,0.573,271387,0.545,0.0,7,0.329,-4.247,0,0.0288,83.378,4,0.297
446,Eminem,Not Alike (feat. Royce Da 5'9),28FGV3ORH14MYORd7s5dlU,74,0.0692,0.904,288087,0.756,0.0,10,0.339,-3.746,1,0.32,140.005,4,0.342
447,JENNIE,SOLO,2wVDWtLKXunswWecARNILj,76,0.0861,0.751,169567,0.642,0.0,3,0.0953,-5.165,0,0.087,95.045,4,0.388
448,Twenty One Pilots,My Blood,5HeKOKc4phmLn8e4I7EkzD,76,0.0563,0.749,229120,0.723,0.022,1,0.0977,-6.609,1,0.0432,108.999,4,0.674
449,The Carters,APESHIT,0E6PsO3ymCfUh7pJQjBgkj,68,0.0133,0.705,264853,0.784,0.0,2,0.168,-6.477,1,0.271,160.035,4,0.377
450,Cardi B,I Do (feat. SZA),1f5PNhkNgUpvDEeZfcIlO1,71,0.27,0.886,200205,0.473,2.58e-05,7,0.0864,-7.338,0,0.255,135.065,4,0.438
451,Ronny J,Costa Rica (feat. Ski Mask the Slump God),6JxdRch1BQkPVUWjcuudvI,71,0.0904,0.71,120019,0.648,0.0,8,0.266,-7.31,1,0.231,160.061,4,0.41
452,Yung Gravy,Alley Oop (feat. Lil Baby),2GyHLJ238fZx2QkQO9v7nV,70,0.276,0.861,152187,0.499,0.0,6,0.0971,-7.458,1,0.263,122.003,4,0.861
453,Alec Benjamin,If We Have Each Other,7pT6WSg4PCt4mr5ZFyUfsF,75,0.698,0.656,181522,0.577,0.0,10,0.296,-5.566,0,0.0802,173.094,4,0.861
454,Cardi B,Drip (feat. Migos),2qcG0nZ6S3zZV0UrkY5nFo,72,0.0511,0.968,262308,0.589,0.0,11,0.0731,-7.808,1,0.255,129.993,4,0.268
455,DaBaby,21,1AdXchAT6hBUm5d6y4nKjI,69,0.1,0.673,170853,0.715,0.0,3,0.115,-5.239,0,0.0891,155.992,4,0.712
456,Kygo,Born To Be Yours,0WVAQaxrT0wsGEG4BCVSn2,68,0.3,0.688,193321,0.688,0.0,3,0.0982,-5.84,1,0.0357,114.011,4,0.451
457,YBN Nahmir,Rubbin Off The Paint,6V4KHt9xu4TPEnDFoBeacT,70,0.00529,0.734,159916,0.751,0.0,1,0.183,-7.26,1,0.285,161.997,4,0.56
458,Ozuna,La Modelo,2SbzdGpOKlH3HIAGTWTbwU,74,0.241,0.574,255507,0.734,0.00806,1,0.0961,-2.697,1,0.0728,98.023,4,0.769
